,,Copy & paste the Share link for each image file from Dropbox,,,,,
Product Name,SKU,Product Image,Feature Icon 1,Feature Icon 2,Feature Icon 3,Feature Icon 4,Feature Icon 5
Hills & Trails DVD,htdvd ,https://www.dropbox.com/s/rmuok2z0ikklhzu/hills-trails-dvd.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiRunning DVD Deutsche Untertitel,crdvdge,https://www.dropbox.com/s/647z6vq8o32l71z/chirunning-dvd.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiRunning DVD Subtítulos en español ,crdvdsp,https://www.dropbox.com/s/647z6vq8o32l71z/chirunning-dvd.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiRunning DVD Nederlandse ondertiteling ,crdvdge,https://www.dropbox.com/s/647z6vq8o32l71z/chirunning-dvd.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiRunning DVD,crdvddig,https://www.dropbox.com/s/647z6vq8o32l71z/chirunning-dvd.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiRunning DVD,crdvd ,https://www.dropbox.com/s/647z6vq8o32l71z/chirunning-dvd.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiWalking Starter Package,cwbookdvddig,https://www.dropbox.com/s/2m8929zm5jaissf/chiwalking-starter-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon-white.png
ChiWalking Starter Package,cwbookdvd ,https://www.dropbox.com/s/2m8929zm5jaissf/chiwalking-starter-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon-white.png
ChiRunning Starter Package,crbookdvddig,https://www.dropbox.com/s/xfrm21vo5a8wm8j/chirunning-starter-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
ChiRunning Starter Package,crbookdvd ,https://www.dropbox.com/s/xfrm21vo5a8wm8j/chirunning-starter-package.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/run-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-running-for-life-icon-white.png
8 Weeks to a 5K Workbook,cwwkb,https://www.dropbox.com/s/4m7d20akaxq0lcu/8-weeks-5k-workbook.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon-white.png
Fitness Walking for Lifelong Health and Energy,cwbook,https://www.dropbox.com/s/q2z8782rtzytiun/chiwalking-book-fitness-walking.jpg?dl=0,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/movement-that-makes-sense-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/injury-free-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/walk-with-confidence-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/stay-consistent-icon-white.png,https://chiliving2021.wpengine.com/wp-content/uploads/2022/01/love-fitness-for-life-icon-white.png
